title,location,width,height,fstop,exposure,iso,focal,file
On The Slopes,"Mount Chapin, Colorado",4000,6000,8,1/250,100,25,8-3_MC_0595_mount_chapin_slopes.jpg
King of the World,"Mount Chapin, Colorado",4000,6000,6.3,1/640,100,105,8-3_MC_0581_king_of_the_world.jpg
Squirrel in Profile,"Mount Chapin, Colorado",4000,6000,4.8,1/400,100,145,8-3_MC_0257_squirrel.jpg
Squirrel in Profile,"Mount Chapin, Colorado",6000,4000,6,1/250,100,260,8-3_MC_0254_squirrel_horizontal.jpg
Falls,"Emerald Lake, Colorado",5133,14236,5.3,1/250,100,75,8-2_L3_07_emerald_lake_falls_1M.jpg
Reflection,"College Station, Texas",2880,6020,5.6,1/100,12800,185,reflection_1M.jpg
(Not) Lightning,"College Station, Texas",6000,4000,5.6,1,1600,30,tree_1M.jpg
Glow: Leaves,"Muir Woods, California",6000,4000,6.3,1/100,100,105,glow_mw_1M.jpg
Clearing,"Enchanted Rock SNA, Texas",6000,4000,6.3,1/160,100,102,glow_2_1M.jpg
Glow: Grass,"Arroyo Seco, New Mexico",6000,4000,5.6,1/200,200,112,glow_1M.jpg
Yellow On Black,"Arroyo Seco, New Mexico",6000,4000,5.6,1/100,400,300,yellow_on_black_1M.jpg
